SL No,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks,Mission Name,Year
45,1/10/2007,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,CARTOSAT-2,2007
44,1/10/2007,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,SRE-1,2007
43,7/10/2006,GSLV-F02 / INSAT-4C,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful,INSAT-4C,2006
42,12/22/2005,Ariane5-V169,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-4A,2005
41,5/5/2005,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,CARTOSAT-1,2005
40,5/5/2005,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Communication,Launch successful,HAMSAT,2005
39,9/20/2004,GSLV-F01 / EDUSAT (GSAT-3),GSO (Geosynchronous Orbit),Communication,Launch successful,EDUSAT,2004
38,10/17/2003,PSLV-C5 /RESOURCESAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-P6 / RESOURCESAT-1,2003
37,9/28/2003,Ariane5-V162,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-3E,2003
36,5/8/2003,GSLV-D2 / GSAT-2,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-2,2003
35,4/10/2003,Ariane5-V160,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,INSAT-3A,2003
34,9/12/2002,PSLV-C4 /KALPANA-1,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,KALPANA-1,2002
33,1/24/2002,Ariane5-V147,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful,INSAT-3C,2002
32,10/22/2001,PSLV-C3 / TES,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,The Technology Experiment Satellite (TES),2001
31,4/18/2001,GSLV-D1 / GSAT-1,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-1,2001
30,3/22/2000,Ariane-5G,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-3B,2000
29,5/26/1999,PSLV-C2/IRS-P4,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,Oceansat(IRS-P4),1999
28,4/3/1999,Ariane-42P H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-2E,1999
27,9/29/1997,PSLV-C1 / IRS-1D,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-1D,1997
26,6/4/1997,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Failed in Orbit,INSAT-2D,1997
25,3/21/1996,PSLV-D3 / IRS-P3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-P3,1996
24,12/28/1995,Molniya,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-1C,1995
23,12/7/1995,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-2C,1995
22,10/15/1994,PSLV-D2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,IRS-P2,1994
20,9/20/1993,PSLV-D1,LEO (Low Earth Orbit),Earth Observation,Launch unsuccessful,IRS-1E,1993
19,7/23/1993,Ariane-44L H10+,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-2B,1993
18,7/10/1992,Ariane-44L H10,GSO (Geosynchronous Orbit),Communication,Launch successful,INSAT-2A,1992
